| label | base | transformer | geometry | status | stage2 s | sec/token | decode s | chunks | sec/chunk | ded peak MB | shr peak s2 MB | rx med s2 | a1 | a2 | a3 | a4 | verdict | a1b s2 | a1b dec | verdict v2 | thin base | ref tok | pred res MB | obs res MB | residual MB | verdict v3' |
| q6_s_p1280_369 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/369f | completed | 73.65 | 0.001632314 | 36.69 | 10 | 3.669 | 15615.4 | 1154.6 | 1.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_377_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/377f | completed | 75.75 | 0.00164388 | 36.9 | 10 | 3.69 | 15882.3 | 1274.9 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_361_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/361f | completed | 73.95 | 0.001674592 | 36.3 | 9 | 4.0333 | 15907.0 | 1970.9 | 13.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
| q6_s_720_385 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/385f | completed | 103.95 | 0.002209821 | 39.43 | 10 | 3.943 | 15913.3 | 1501.8 | 4.5 | True | True | True | False | harmful | False | False | organic | False |  |  |  |  | plateau |
| q6_s_1080_185 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/185f | completed | 165.15 | 0.003373162 | 45.93 | 5 | 9.186 | 15792.8 | 2182.1 | 18137.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_177_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/177f | completed | 104.85 | 0.002234655 | 39.08 | 5 | 7.816 | 15843.8 | 1531.5 | 116.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_p1280_377 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/377f | completed | 75.9 | 0.001647135 | 36.31 | 10 | 3.631 | 15894.0 | 1220.6 | 98.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_p1280_361_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/361f | completed | 74.1 | 0.001677989 | 35.7 | 9 | 3.9667 | 15919.0 | 1991.7 | 6.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
| q6_s_p1280_369_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/369f | completed | 73.65 | 0.001632314 | 36.32 | 10 | 3.632 | 15702.0 | 1156.8 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_c_base | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/186f | completed | 30.0 | 0.001420455 | 16.57 | 5 | 3.314 | 10837.1 | 1173.1 | 4.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_c_1856x1024 | LTX23 | Sulphur-2-base-distil-Q6_K | 1856x1024/186f | completed | 64.95 | 0.001590664 | 33.76 | 5 | 6.752 | 15707.1 | 1152.5 | 3.0 | True | True | False | True | harmful | False | False | organic | False |  |  |  |  | clean |
| q6_c_1920x1088 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/186f | completed | 73.2 | 0.001631016 | 38.32 | 5 | 7.664 | 15633.9 | 1152.6 | 3.0 | True | True | False | True | harmful | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_169_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/169f | completed | 73.2 | 0.001631016 | 38.5 | 5 | 7.7 | 15611.8 | 1159.4 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_369_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/369f | completed | 73.65 | 0.001632314 | 36.94 | 10 | 3.694 | 15702.2 | 1175.1 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_385_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/385f | completed | 109.35 | 0.002324617 | 39.68 | 10 | 3.968 | 15798.9 | 1602.0 | 120.0 | True | True | True | False | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_1080_185_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/185f | completed | 165.3 | 0.003376225 | 44.96 | 5 | 8.992 | 15732.3 | 2236.8 | 26663.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q4_s_720_b185 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1280x768/185f | completed | 33.15 | 0.001438802 | 20.49 | 5 | 4.098 | 10655.1 | 668.5 | 4.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q4_s_720_361 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1280x768/361f | completed | 71.55 | 0.001620245 | 35.97 | 9 | 3.9967 | 15382.0 | 654.1 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q4_s_720_369 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1280x768/369f | completed | 73.65 | 0.001632314 | 36.06 | 10 | 3.606 | 15657.9 | 670.9 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q4_s_1080_b89 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1920x1088/89f | completed | 35.55 | 0.001452206 | 19.04 | 3 | 6.3467 | 11092.5 | 673.5 | 3.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q4_s_1080_169 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1920x1088/169f | completed | 73.05 | 0.001627674 | 38.51 | 5 | 7.702 | 15861.2 | 1591.8 | 7.0 | True | True | False | True | harmful | True | False | organic | False |  |  |  |  | plateau |
| q4_s_1080_177 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1920x1088/177f | completed | 104.1 | 0.00221867 | 38.83 | 5 | 7.766 | 15813.8 | 1044.6 | 118.0 | True | True | True | True | harmful | True | False | harmful | False |  |  |  |  | plateau |
| q4_s_p1280_b185 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 768x1280/185f | completed | 33.0 | 0.001432292 | 18.78 | 5 | 3.756 | 10615.3 | 661.4 | 5.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q4_s_p1280_361 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 768x1280/361f | completed | 71.55 | 0.001620245 | 35.61 | 9 | 3.9567 | 15322.5 | 644.0 | 1.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q4_s_p1280_369 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 768x1280/369f | completed | 73.65 | 0.001632314 | 35.96 | 10 | 3.596 | 15665.2 | 651.7 | 3.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q4_s_1080_169_r2 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1920x1088/169f | completed | 73.05 | 0.001627674 | 38.47 | 5 | 7.694 | 15582.9 | 645.3 | 2.0 | True | False | False | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q4_s_720_361_r2 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1280x768/361f | completed | 71.55 | 0.001620245 | 35.94 | 9 | 3.9933 | 15310.0 | 644.2 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q4_s_p1280_361_r2 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 768x1280/361f | completed | 71.55 | 0.001620245 | 36.05 | 9 | 4.0056 | 15309.6 | 635.8 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
